Year,0.Starbucks,1.Dominos,2.Tacobell,3.McDonald,4.KFC,5.BurgerKing,6.Wendys,7.LittleCaesars,8.PapaJohns,9.Subway
2009,76,77,73,70,69,69,76,75,75,75
2010,78,77,74,67,75,74,77,78,80,74
2011,80,77,76,72,75,75,77,80,79,73
2012,76,77,77,73,75,75,78,82,83,82
2013,80,81,74,73,81,76,79,82,82,83
2014,76,80,72,71,74,76,78,80,82,78
2015,74,75,72,67,73,72,73,74,78,77
2016,75,78,75,69,78,76,76,81,82,80
2017,77,78,76,69,78,77,76,78,82,81
2018,78,79,74,69,77,76,77,77,80,80
2019,79,79,75,69,78,76,77,77,80,79
2020,78,79,74,70,79,76,76,76,78,79
2021,79,80,74,70,79,76,73,76,77,75
2022,77,78,72,68,79,75,73,75,76,75
