Movie,Length (minutes)
Kung Fu Panda,91
Rugrats in Paris:The Movie,78
Shark Tale,90
The Incredibles,115
Wallace and Gromit: The Curse of the Were-Rabbit,85
Barnyard: The Original Party Animals,83
The Simpsons Movie,87
The Emperor's New Groove,78
Atlantis: The Lost Empire,95
Aladdin,90
The Polar Express,100
The Fox and the Hound,83
The Rugrats Movie,81
Return to Never Land,72
Finding Nemo,104
The Lion King,89
Bee Movie,90
Monsters vs. Aliens,94
Madagascar,86
Curious George,86
Dr. Seuss' Horton Hears a Who!,88
Toy Story 3,103
Space Jam,88
Tangled,100
Toy Story 2,92
Happy Feet Two,105
TMNT,90
The Princess and the Frog,95
Cloudy with a Chance of Meatballs,81
Fantasia 2000,75
