Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
63,4124,4017
57,118031,113913
52,6902,6646
56,29469,28332
61,94979,92092
7,108611,104706
12,61284,59016
55,4706,4537
43,346884,333857
58,17837,17180
22,15671,15182
8,106646,102749
3,115263,111236
32,2054,1974
65,290805,280759
50,284,276
21,39839,38305
15,344933,331469
16,93300,89788
47,399040,385322
35,68328,65714
29,155808,150180
41,226866,217945
27,41689,40028
64,864962,834623
53,10732,10331
34,237466,228336
20,6427,6221
14,296215,285133
13,117690,113247
